ticker,holder_name,portfolio_name,source,amount_held,pct_outstanding,latest_change,filing_date,institution_type,country,metro_area,etf_label,ticker_raw
JBBB US Equity,Ameriprise Financial,,ULT-AGG,189578.0,0.79,2678.0,2025-12-31,Insurance Company,United States,Unclassified,JBBB (Janus B-BBB CLO),JBBB
JBBB US Equity,WT Wealth Management,WT Wealth Management,13F,181605.0,0.76,-50618.0,2025-12-31,Investment Advisor,United States,Unclassified,JBBB (Janus B-BBB CLO),JBBB
JBBB US Equity,Summit Financial LLC,Summit Financial LLC,13F,176179.0,0.73,14211.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,JBBB (Janus B-BBB CLO),JBBB
JBBB US Equity,Goldman Sachs Group,,ULT-AGG,174741.0,0.73,-432883.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,JBBB (Janus B-BBB CLO),JBBB
JBBB US Equity,Nilsine Partners LLC,Nilsine Partners LLC,13F,153226.0,0.64,18283.0,2025-12-31,Investment Advisor,United States,Denver,JBBB (Janus B-BBB CLO),JBBB
JBBB US Equity,Cachetech Inc,Cachetech Inc,13F,152080.0,0.63,-526006.0,2025-12-31,Investment Advisor,United States,Salt Lake City,JBBB (Janus B-BBB CLO),JBBB
AAA US Equity,Jane Street Group LL,Jane Street Group LL,13F,70539.0,4.15,30334.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,AAA (Virtus AAA CLO),AAA
AAA US Equity,Cambridge Investment,Cambridge Investment,13F,27669.0,1.63,-4568.0,2025-12-31,Brokerage,United States,Unclassified,AAA (Virtus AAA CLO),AAA
AAA US Equity,Philadelphia Financi,Multiple Portfolios,Sch-D,23137.0,1.36,0.0,2025-09-30,Insurance Company,United States,Philadelphia,AAA (Virtus AAA CLO),AAA
AAA US Equity,Legacy Capital Group,Legacy Capital Group,13F,20670.0,1.22,-1544.0,2025-12-31,Investment Advisor,United States,San Francisco/San Jose,AAA (Virtus AAA CLO),AAA
AAA US Equity,Procyon Advisors LLC,Procyon Advisors LLC,13F,12980.0,0.76,-200.0,2025-12-31,Investment Advisor,United States,Hartford,AAA (Virtus AAA CLO),AAA
AAA US Equity,Royal Bank of Canada,,ULT-AGG,4977.0,0.29,-9595.0,2025-12-31,Bank,Canada,Toronto,AAA (Virtus AAA CLO),AAA
AAA US Equity,International Assets,International Assets,13F,3590.0,0.21,3590.0,2025-12-31,Investment Advisor,United States,Orlando,AAA (Virtus AAA CLO),AAA
AAA US Equity,Corecap Advisors LLC,Corecap Advisors LLC,13F,2173.0,0.13,0.0,2025-12-31,Investment Advisor,United States,Detroit,AAA (Virtus AAA CLO),AAA
AAA US Equity,BERRY ROCK INS CO,Multiple Portfolios,Sch-D,500.0,0.03,0.0,2025-06-30,Insurance Company,United States,Oklahoma City,AAA (Virtus AAA CLO),AAA
AAA US Equity,Flow Traders US LLC,Flow Traders US LLC,13F,0.0,0.0,-25870.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,AAA (Virtus AAA CLO),AAA
AAA US Equity,Harbour Investments,Harbour Investments,13F,0.0,0.0,-1594.0,2025-12-31,Brokerage,United States,Milwaukee/Madison,AAA (Virtus AAA CLO),AAA
AAA US Equity,Aptus Capital Adviso,Aptus Capital Adviso,13F,0.0,0.0,-25792.0,2025-12-31,Investment Advisor,United States,Unclassified,AAA (Virtus AAA CLO),AAA
